step,time,kinetic_energy,temperature
0,0.000000000e0,4.771523036e-18,3.000000058e2
5,2.500000000e-15,3.618826407e-18,2.275265015e2
10,5.000000000e-15,4.249134069e-18,2.671558401e2
15,7.500000000e-15,3.753429201e-18,2.359893840e2
20,1.000000000e-14,4.236666037e-18,2.663719374e2
25,1.250000000e-14,4.582263636e-18,2.881006980e2
30,1.500000000e-14,3.956731034e-18,2.487715818e2
35,1.750000000e-14,4.652981416e-18,2.925469375e2
40,2.000000000e-14,3.862589766e-18,2.428526370e2
45,2.250000000e-14,5.027889081e-18,3.161185101e2
50,2.500000000e-14,4.526560293e-18,2.845984613e2
55,2.750000000e-14,4.746089019e-18,2.984008926e2
60,3.000000000e-14,4.730644725e-18,2.974298634e2
65,3.250000000e-14,4.734729573e-18,2.976866901e2
70,3.500000000e-14,5.696515262e-18,3.581570493e2
75,3.750000000e-14,5.042608257e-18,3.170439490e2
80,4.000000000e-14,5.689432466e-18,3.577117327e2
85,4.250000000e-14,5.241672301e-18,3.295597042e2
90,4.500000000e-14,6.038808571e-18,3.796780593e2
95,4.750000000e-14,6.225493708e-18,3.914155154e2
100,5.000000000e-14,6.206808299e-18,3.902407075e2
